pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,dropoff_datetime
-73.976593,40.785744,-73.929123,40.828922,2013-06-19 13:03:00
-73.953041,40.783016,-73.93013,40.826817,2013-06-19 12:46:00
-73.991463,40.749321,-73.926514,40.831345,2013-06-19 12:43:00
-73.942581,40.831367,-73.928192,40.829533,2013-06-19 13:11:00
-73.940865,40.841469,-73.926773,40.831104,2013-06-19 12:50:00
-73.964699,40.807034,-73.929367,40.828854,2013-06-19 12:52:00
-73.935989,40.806461,-73.928902,40.830082,2013-06-19 12:56:00
-73.985718,40.74427,-73.926338,40.82653,2013-06-19 13:31:00
-73.98336,40.753071,-73.928383,40.829384,2013-06-19 12:36:00
-73.999481,40.761421,-73.928726,40.829144,2013-06-19 12:47:00
-73.945198,40.807751,-73.93058,40.826641,2013-06-19 13:27:00
-73.958237,40.779152,-73.929665,40.826344,2013-06-19 12:54:00
-73.963913,40.770935,-73.930023,40.826794,2013-06-19 13:07:00
-73.981094,40.759846,-73.930649,40.827202,2013-06-19 12:41:00
-73.962181,40.767838,-73.928215,40.829632,2013-09-05 19:04:08
-73.964714,40.773083,-73.927734,40.830257,2013-09-03 18:43:41
-73.960037,40.770756,-73.930107,40.826805,2013-09-06 19:03:22
-73.990326,40.766869,-73.929176,40.828999,2013-09-08 13:03:14
-73.943253,40.777233,-73.929688,40.826668,2013-09-06 18:50:36
-73.964943,40.762512,-73.928093,40.829956,2013-09-03 18:55:19
-73.959892,40.758553,-73.929749,40.826626,2013-09-06 19:07:17
